trksub,digest2_feed_score,V,H,nobs,arc_days,not_seen_dys,followup_status,p_real_neo
ST26G94,100,18.8,24.2,4,0.02,0.385,needs_followup,0.771189367481552
gb00859,98,19.1,28.0,17,0.11,0.02,needs_followup,0.7706600241943222
gb00852,98,19.0,26.7,22,0.22,0.043,needs_followup,0.7705608917704371
A11EUSX,100,17.1,28.8,4,0.04,0.859,needs_followup,0.7700485841247826
P12pEuR,100,20.0,23.7,4,0.03,0.083,needs_followup,0.7699089583391571
P12pZ7Y,100,21.1,22.4,3,0.02,0.105,needs_followup,0.7695877088842389
A11EDnp,98,19.3,25.7,13,0.31,0.048,needs_followup,0.7678174550070515
orA5338,100,21.2,24.2,3,0.02,0.396,needs_followup,0.7672551535206109
Sar2900,100,20.7,20.8,17,0.18,0.127,needs_followup,0.7656348617792809
CERUXF2,100,19.9,23.7,16,0.07,0.136,needs_followup,0.7650361797050492
A11H0cI,98,19.3,28.1,8,0.21,0.167,needs_followup,0.7632433399698445
C1FZHE5,100,22.1,23.3,4,0.02,0.268,needs_followup,0.7614688526840715
CERUX02,98,19.5,27.0,16,0.16,0.065,needs_followup,0.758075668390823
P12patX,100,19.8,24.4,3,0.02,0.325,needs_followup,0.7576332871948536
ST26H87,100,19.3,23.2,4,0.02,0.312,needs_followup,0.7563108134911174
P22pRjR,100,21.3,24.8,5,0.15,0.288,needs_followup,0.7546721409869706
P22ppYF,100,20.0,23.0,3,0.03,0.317,needs_followup,0.754567694858761
P12ooOy,100,22.3,21.7,4,0.04,0.444,needs_followup,0.7541017261987918
A11GXkG,98,17.8,26.5,38,0.39,0.018,needs_followup,0.7537545124227942
8NFE001,96,19.1,26.8,27,0.45,0.184,needs_followup,0.7521732497582345
C1GCQ75,100,22.3,21.4,3,0.01,0.298,needs_followup,0.752039863336605
P22pL3X,100,21.9,22.8,10,4.73,0.566,tracked,0.7501907289699011
A11Fiq3,100,17.8,25.9,8,0.08,0.315,needs_followup,0.7490333863557035
ZTF10FQ,100,18.6,27.2,4,0.01,0.487,needs_followup,0.7458752987824704
A11H0cZ,100,17.6,25.0,6,0.13,0.105,needs_followup,0.7455228356491462
P12oZGu,100,20.9,26.1,3,0.01,0.162,needs_followup,0.7437796672361183
P22pROC,100,19.8,25.4,4,0.04,0.239,needs_followup,0.7428205616880049
ZTF10FR,100,18.3,22.5,8,0.58,0.254,needs_followup,0.7420900451816453
P12pEue,100,21.3,23.2,3,0.02,1.098,needs_followup,0.7405534631780003
STO1508,100,20.4,20.6,5,0.02,0.7,needs_followup,0.7393574639044894
A11Edxc,100,18.7,24.5,4,0.02,0.396,needs_followup,0.7390274647049624
6HI2621,100,19.7,24.2,13,0.27,0.179,needs_followup,0.7387457908299863
A11G8Bu,98,17.1,25.8,31,0.44,0.014,needs_followup,0.7360161381524092
P12pWOv,100,20.3,23.4,4,0.08,0.285,needs_followup,0.7356532462052421
P22pZo5,100,21.3,20.3,6,0.08,0.346,needs_followup,0.7351189838902834
A11Eq8v,100,18.5,25.4,10,2.05,0.989,tracked,0.7341142769188549
P12ooOz,100,21.3,21.9,5,0.09,0.384,needs_followup,0.7331843064581388
C46HWC1,98,19.9,26.2,11,0.08,0.351,needs_followup,0.7322626942916132
6H41B21,100,18.0,25.9,8,0.09,0.09,needs_followup,0.7321568997122958
6HE2A21,100,18.9,21.7,3,0.01,0.096,needs_followup,0.731627968432045
A11FZ3U,100,18.9,22.1,10,0.51,0.273,needs_followup,0.7313773862017559
ST26H62,100,18.1,21.8,4,0.02,0.388,needs_followup,0.7307961316920134
8N9E001,100,18.7,23.6,3,0.01,0.395,needs_followup,0.7304642471355528
P22pRNl,100,20.5,23.9,4,0.07,0.268,needs_followup,0.7303310059560894
P12os34,96,22.0,24.3,5,0.09,0.831,needs_followup,0.7297618563034599
A11EXKc,98,17.8,25.9,18,0.32,0.077,needs_followup,0.729421871233947
P12orbt,100,20.0,23.0,6,0.11,0.263,needs_followup,0.7293602162823862
A11Evr9,100,18.4,23.3,7,0.03,0.887,needs_followup,0.7290004679379515
P12pRIj,82,21.7,20.6,5,0.12,0.278,needs_followup,0.7285267333822772
P12o4wi,100,20.9,21.8,3,0.03,0.414,needs_followup,0.726746205588333
orA5256,100,20.9,23.0,3,0.02,0.373,needs_followup,0.7242247002652884
C46HW61,100,19.9,24.4,4,0.01,0.028,needs_followup,0.7240326724291033
P12pZb6,100,21.7,22.0,5,0.14,0.327,needs_followup,0.7226664635480905
AFS700,92,21.9,20.9,6,0.19,0.392,needs_followup,0.7225805224072549
P22papG,100,20.8,21.0,3,0.03,0.386,needs_followup,0.7211730871330277
P12pBgx,100,21.1,21.7,3,0.03,0.396,needs_followup,0.7205368029602638
A11FfIf,100,17.8,28.9,4,0.02,0.181,needs_followup,0.720064502280808
MZ26372,100,19.2,22.0,4,0.01,0.495,needs_followup,0.7193625366863275
6J93321,100,18.9,23.5,12,0.14,0.277,needs_followup,0.7191100978217908
SE000AI,98,18.6,28.5,6,0.33,0.107,needs_followup,0.7188028416236403
C1FYW35,100,22.5,25.7,4,0.02,0.319,needs_followup,0.7187577610407369
SO000CX,100,19.4,28.4,5,0.01,0.807,needs_followup,0.7183484438485473
ZTF10Ft,81,18.0,25.4,20,2.82,0.336,tracked,0.7181132294569331
SK000Zy,100,18.2,26.7,3,0.0,0.489,needs_followup,0.7107100355139546
SE00072,100,21.0,30.4,10,0.11,0.646,needs_followup,0.7103732498971508
A11GMT3,98,17.4,27.0,9,0.24,0.062,needs_followup,0.7091101377281207
A11EXKa,100,18.1,25.4,15,0.19,0.243,needs_followup,0.7089636156489464
A11FgaP,100,18.5,22.1,7,0.6,0.299,needs_followup,0.7076423121239923
P22q6aC,100,21.5,24.6,5,0.1,1.037,needs_followup,0.7071591358011391
6JE3F21,100,20.0,21.9,9,0.08,0.111,needs_followup,0.7071380317820161
